stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,corner_placement,stop_position,on_street,at_street,heading
6207,6207,Sunrise/Wayne,000000 SUNRISE & WAYNE,30.526146,-97.667778,,https://www.capmetro.org/stopdetail/index.php?stop=6207,,,,0,Southeast,Nearside,SUNRISE,WAYNE,359
6208,6208,Sunrise/Wayne,000000 SUNRISE & WAYNE,30.526518,-97.667947,,https://www.capmetro.org/stopdetail/index.php?stop=6208,,,,0,Northwest,Nearside,SUNRISE,WAYNE,179
6209,6209,Sunrise/Bowman (Tiger Trail),000000 Sunrise Rd & Bowman Dr,30.529748,-97.667802,,https://www.capmetro.org/stopdetail/index.php?stop=6209,,,,0,Southeast,Mid-Block,Sunrise Rd,Bowman Dr,359
6210,6210,Sunrise/Bowman (Tiger Trail),000000 SUNRISE & BOWMAN,30.530674,-97.668014,,https://www.capmetro.org/stopdetail/index.php?stop=6210,,,,0,Northwest,Mid-Block,SUNRISE,BOWMAN,179
6211,6211,Sunrise/Country Aire,000000 SUNRISE & COUNTRY AIRE,30.534731,-97.667870,,https://www.capmetro.org/stopdetail/index.php?stop=6211,,,,0,Southeast,Nearside,SUNRISE,COUNTRY AIRE,358
6212,6212,Sunrise/Country Aire,000000 SUNRISE & COUNTRY AIRE,30.534574,-97.668065,,https://www.capmetro.org/stopdetail/index.php?stop=6212,,,,0,Southwest,Farside,SUNRISE,COUNTRY AIRE,180
6213,6213,Sunrise/Old Settlers,000000 SUNRISE & OLD SETTLERS,30.537555,-97.668187,,https://www.capmetro.org/stopdetail/index.php?stop=6213,,,,0,Southwest,Mid-Block,SUNRISE,OLD SETTLERS,178
6214,6214,Sunrise/Old Settlers,000000 SUNRISE & OLD SETTLERS,30.538050,-97.668019,,https://www.capmetro.org/stopdetail/index.php?stop=6214,,,,0,Southeast,Nearside,SUNRISE,OLD SETTLERS,351
6215,6215,Sunrise/Double File,000000 SUNRISE & DOUBLE FILE,30.541191,-97.670999,,https://www.capmetro.org/stopdetail/index.php?stop=6215,,,,0,Northeast,Nearside,SUNRISE,DOUBLE FILE,292
6216,6216,Sunrise/Double File,000000 SUNRISE & DOUBLE FILE,30.541036,-97.671114,,https://www.capmetro.org/stopdetail/index.php?stop=6216,,,,0,Southeast,Farside,SUNRISE,DOUBLE FILE,112
6219,6219,Sunrise/Eagles Nest,000000 SUNRISE & EAGLES NEST,30.552161,-97.676562,,https://www.capmetro.org/stopdetail/index.php?stop=6219,,,,0,Northeast,Farside,SUNRISE,EAGLES NEST,342
6220,6220,Sunrise/Eagles Nest,000000 SUNRISE & EAGLES NEST,30.552211,-97.676815,,https://www.capmetro.org/stopdetail/index.php?stop=6220,,,,0,Northwest,Nearside,SUNRISE,EAGLES NEST,162
6221,6221,Sunrise/Hidden Valley,000000 SUNRISE & HIDDEN VALLEY,30.557750,-97.678726,,https://www.capmetro.org/stopdetail/index.php?stop=6221,,,,0,Southeast,Mid-Block,SUNRISE,HIDDEN VALLEY,342
6222,6222,Sunrise/Hidden Valley,000000 SUNRISE & HIDDEN VALLEY,30.558732,-97.679367,,https://www.capmetro.org/stopdetail/index.php?stop=6222,,,,0,Northwest,Mid-Block,SUNRISE,HIDDEN VALLEY,160
6223,6223,Mays/Teravista,000000 N MAYS & TERAVISTA Pkwy,30.568080,-97.686785,,https://www.capmetro.org/stopdetail/index.php?stop=6223,,,,0,Southwest,Mid-Block,N MAYS,TERAVISTA Pkwy,174
6224,6224,N Mays St/Teravista Pkwy,000000 N MAYS ST & TERAVISTA Pkwy,30.568408,-97.686563,,https://www.capmetro.org/stopdetail/index.php?stop=6224,,,,0,Southeast,Mid-Block,N MAYS ST,TERAVISTA Pkwy,354
6225,6225,N Mays/University,000000 N Mays St. & University,30.561458,-97.687175,,https://www.capmetro.org/stopdetail/index.php?stop=6225,,,,0,Northwest,Mid-Block,N Mays St.,University,163
6226,6226,N Mays St/University,000000 N MAYS & UNIVERSITY,30.561527,-97.686898,,https://www.capmetro.org/stopdetail/index.php?stop=6226,,,,0,Northeast,Mid-Block,N MAYS,UNIVERSITY,346
6227,6227,University/Teravista Club,000000 UNIVERSITY & TERAVISTA CLUB,30.565842,-97.669101,,https://www.capmetro.org/stopdetail/index.php?stop=6227,,,,0,Southeast,Farside,UNIVERSITY,TERAVISTA CLUB,71
6228,6228,University/Teravista Club,000000 UNIVERSITY & TERAVISTA CLUB,30.565967,-97.669358,,https://www.capmetro.org/stopdetail/index.php?stop=6228,,,,0,Northeast,Nearside,UNIVERSITY,TERAVISTA CLUB,251
